483310024	90	1	3103016	01	0	1		3	社會福利財政	
484110003	90	1	1103113	01	0	1		2	中國思想史(三)	
484110003	90	1	1103121	01	0	1	80	2	歷代文選及習作(三)	
484120037	90	1	3545010	01	0	7		2	教育心理學	
484120037	90	1	3545030	01	0	7	86	2	教學媒體	
484120037	90	1	3545160	02	0	7	83	2	教育導論	
484120037	90	1	3545510	01	0	7	87	3	特殊教育導論	
484315043	90	1	1307003	01	0	2	82	2	手語研究導論	
484315043	90	1	3153001	01	0	1	71	3	心理測驗（一）	
484315043	90	1	7403002	02	3	3		2	憲法與政府	
485110038	90	1	3545010	01	0	1		2	教育心理學	
485110038	90	1	3545035	01	0	2	80	2	班級經營	
485110038	90	1	3545500	01	0	2		2	諮商理論與技術--個別諮商	
485110038	90	1	3545510	01	0	2	88	3	特殊教育導論	
485110046	90	1	1101811	01	0	1		2	文學概論（一）	
485110046	90	1	1102713	01	0	1		2	歷代文選及習作（一）	
485110048	90	1	1103311	01	0	1	75	2	聲韻學（一）	
485110062	90	1	1103721	01	0	2	40	2	樂府詩（一）	
485110062	90	1	1103731	01	0	2		2	專家詩一：王白詩（一）	
485110062	90	1	1103911	01	0	2	75	2	應用文（一）	
485110062	90	1	1154130	01	0	2		3	戲劇製作與演出	
485110062	90	1	1202411	01	0	2	0	3	世界中古史（一）	
485110062	90	1	9022093	02	2	1		0	體育：瑜珈(一)	
485115021	90	1	3545005	01	0	7	88	2	教育社會學	
485115021	90	1	3545010	01	0	7		2	教育心理學	
485115021	90	1	3545015	02	0	7	85	2	輔導原理與實務	
485115021	90	1	3545020	01	0	7		2	教育測驗與評量	
485115021	90	1	3545030	01	0	7	88	2	教學媒體	
485115021	90	1	3545125	02	0	7	95	2	課程設計	
485115030	90	1	3545015	02	0	7	85	2	輔導原理與實務	
485115030	90	1	3545020	01	0	7		2	教育測驗與評量	
485115030	90	1	3545030	01	0	7	88	2	教學媒體	
485115030	90	1	3545035	01	0	7	75	2	班級經營	
485115032	90	1	1154030	01	0	2	68	3	神話與文學	
485115032	90	1	3545035	01	0	7	74	2	班級經營	
485115032	90	1	3545800	01	0	7	88	2	音樂科教材教法	
485115034	90	1	3545035	01	0	7	50	2	班級經營	
485115034	90	1	3545150	01	0	7		2	人際關係與溝通	
485115034	90	1	3545155	01	0	7	93	2	教育法規	
485115034	90	1	3545510	01	0	7	79	3	特殊教育導論	
485115034	90	1	3545800	01	0	7	90	2	音樂科教材教法	
485115034	90	1	3545805	01	0	7	83	2	自然科教材教法	
485115034	90	1	3545825	01	0	7	83	2	美勞科教材教法	
485115037	90	1	3545015	02	0	7	85	2	輔導原理與實務	
485115037	90	1	3545125	02	0	7	95	2	課程設計	
485115037	90	1	3545160	02	0	7	86	2	教育導論	
485115037	90	1	3545510	01	0	7	84	3	特殊教育導論	
485115043	90	1	3545030	02	0	7	83	2	教學媒體	
485115043	90	1	3545510	01	0	7	79	3	特殊教育導論	
485115043	90	1	3545800	02	0	7	88	2	音樂科教材教法	
485115043	90	1	3545805	01	0	7	90	2	自然科教材教法	
485115048	90	1	3545005	01	0	7	88	2	教育社會學	
485115048	90	1	3545015	02	0	7	85	2	輔導原理與實務	
485115048	90	1	3545020	01	0	7		2	教育測驗與評量	
485120028	90	1	1154058	01	0	2	78	3	美國短篇故事	
485120028	90	1	1154131	01	0	2	70	3	偵探小說	
485210020	90	1	3545005	01	0	7	93	2	教育社會學	
485210020	90	1	3545010	01	0	7		2	教育心理學	
485210020	90	1	3545035	01	0	7	84	2	班級經營	
485210020	90	1	3545195	01	0	7		2	教學系統設計	
485210020	90	1	3545280	01	0	7	80	2	教育人類學	
485210020	90	1	3545800	01	0	7	88	2	音樂科教材教法	
485210020	90	1	3545805	01	0	7	90	2	自然科教材教法	
485210020	90	1	3545825	01	0	7	90	2	美勞科教材教法	
485210020	90	1	3545835	01	0	7		2	體育科教材教法	
485210023	90	1	3545010	01	0	7		2	教育心理學	
485210023	90	1	3545015	02	0	7	75	2	輔導原理與實務	
485210023	90	1	3545035	01	0	7	84	2	班級經營	
485210034	90	1	5101001	05	0	1	93	3	經濟學原理（一）	
485210048	90	1	9024111	01	2	2	90	1	體育：身材雕塑	
485220005	90	1	2203021	01	0	1	60	4	量子物理（一）	
485220005	90	1	2203060	01	0	2		3	物理數學	
485220024	90	1	2203060	01	0	2		3	物理數學	
485220024	90	1	2204070	01	0	2	73	3	近代物理導論	
485220043	90	1	3545035	01	0	7	83	2	班級經營	
485220043	90	1	3545060	01	0	7	86	2	教育行政	
485220043	90	1	3545125	02	0	7	92	2	課程設計	
485220043	90	1	3545280	01	0	7	84	2	教育人類學	
485220043	90	1	3545510	01	0	7	79	3	特殊教育導論	
485220043	90	1	3545840	01	0	7	82	2	 多元文化教育	
485220043	90	1	3545845	01	0	7		2	青少年問題與輔導	
485220052	90	1	2201001	08	0	1	76	1	普通物理實驗（一）	
485220052	90	1	2202021	01	0	1	78	3	理論力學（一）	
485220052	90	1	2203021	01	0	1	78	4	量子物理（一）	
485220052	90	1	2203060	01	0	2		3	物理數學	
485220052	90	1	2204001	01	0	2	70	3	固態物理導論（一）	
485220052	90	1	2251101	02	0	1	80	3	普通化學（一）	
485220052	90	1	7101037	01	3	3	65	2	中國語文知識及其應用(中國古代思想家)	
485220052	90	1	7102002	09	3	3	80	2	現代英語閱讀	
485220052	90	1	7302015	01	3	3	90	2	台灣社會經濟史	
485220052	90	1	9021001	29	2	1	70	0	體育（一）	
485220052	90	1	9031032	05	1	2		1	軍訓（國防白皮書與國共戰史）	
485225003	90	1	5105330	01	0	2		1	數量方法（一）	
485225015	90	1	9024075	01	2	2	0	1	壁球(一)	
485225034	90	1	9023111	02	2	1		0	體育（一）	
485225045	90	1	9024010	01	2	2		1	體育（初級高爾夫球一）	
485310028	90	1	3545001	01	0	7		2	教育哲學	
485310028	90	1	3545020	01	0	7		2	教育測驗與評量	
485310028	90	1	3545030	02	0	7	83	2	教學媒體	
485310028	90	1	3545125	01	0	7	95	2	課程設計	
485310028	90	1	3545280	01	0	7	83	2	教育人類學	
485310028	90	1	3545510	01	0	7	80	3	特殊教育導論	
485310028	90	1	3545520	01	0	7		2	數學科教材教法	
485310028	90	1	3545835	01	0	7		2	體育科教材教法	
485310032	90	1	3545035	01	0	7	86	2	班級經營	
485310032	90	1	3545510	01	0	7	82	3	特殊教育導論	
485310032	90	1	3545520	01	0	7		2	數學科教材教法	
485310032	90	1	3545825	01	0	7	91	2	美勞科教材教法	
485310037	90	1	3545510	01	0	7	82	3	特殊教育導論	
485315038	90	1	3545020	01	0	7		2	教育測驗與評量	
485315038	90	1	3545035	01	0	7	84	2	班級經營	
485315038	90	1	3545150	01	0	7		2	人際關係與溝通	
485315038	90	1	3545155	01	0	7	92	2	教育法規	
485315038	90	1	3545210	01	0	7		2	英語會話教學	
485315038	90	1	3545510	01	0	2	80	3	特殊教育導論	
485315038	90	1	3545805	02	0	7	91	2	自然科教材教法	
485315038	90	1	3545825	01	0	7	88	2	美勞科教材教法	
485315047	90	1	1101411	01	0	1	67	2	國學導讀（一）	
485315047	90	1	1101915	01	0	2	50	2	書法（一）	
485315047	90	1	1103611	01	0	2		2	中國戲劇選讀（一）	
485315047	90	1	1203561	01	0	2	72	2	紐澳史（一）	
485315047	90	1	2101001	05	0	1		4	微積分（一）	
485315047	90	1	3153001	01	0	1	65	3	心理測驗（一）	
485315047	90	1	3153262	01	0	2		3	語言心理學	
485315047	90	1	7406003	02	3	3		2	個人財務規劃	
485315047	90	1	9023111	02	2	1		0	體育（一）	
485410019	90	1	1203531	01	0	2		2	日本史（一）	
485410019	90	1	4103000	01	0	1		3	作業系統	
485410019	90	1	4103055	01	0	1		3	計算機組織	
485410019	90	1	4103061	01	0	2		3	數值分析	
485410019	90	1	7404008	01	3	3		2	網路上的倫理	
485410024	90	1	1154058	01	0	2	82	3	美國短篇故事	
485410024	90	1	1202231	01	0	2		3	台灣史（一）	
485410024	90	1	1202331	01	0	2		3	中國現代史（一）	
485410024	90	1	1203531	01	0	2	82	2	日本史（一）	
485410024	90	1	4105100	01	0	2		3	影像處理	
485410024	90	1	7304007	02	3	3	82	2	西洋音樂史	
485410024	90	1	7503001	01	3	3		3	生命科學緒論	
485415013	90	1	1203501	01	0	2	79	2	東南亞史(一)	
485415013	90	1	4152008	02	0	1		3	電磁學（一）　　　	
485415013	90	1	4153001	01	0	1		3	電子學（三）　	
485415013	90	1	4153011	01	0	1	63	3	機率	
485415013	90	1	4158998	01	0	2	82	3	寬頻交換	
485415013	90	1	7401002	02	3	3	86	3	心理學緒論	
485420013	90	1	2202011	01	0	1	95	3	應用數學（一）	
485420013	90	1	3101023	01	0	1	80	3	經濟學（一）	
485420013	90	1	3201015	01	0	2	85	3	企業概論	
485420013	90	1	4203001	02	0	1		1	機械工程實驗（一）	
485420013	90	1	4203102	01	0	1		3	機械設計（二）	
485420013	90	1	4203751	02	0	1		3	自動控制（一）	
485420013	90	1	4203804	02	0	1	85	3	電工學	
485420013	90	1	4204009	01	0	2		2	自動控制專題研究（二）	
485420013	90	1	4205001	01	0	2		3	工程分析（一）	
485420013	90	1	9021001	22	2	1		0	體育（一）	
485420013	90	1	9023111	01	2	1		0	體育（一）	
